IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
158.180.93.35,443,443,true,SIN,Asia Pacific,SG,Singapore,241,0.00
129.154.60.79,443,443,true,SIN,Asia Pacific,SG,Singapore,239,0.00
8.219.126.241,443,443,true,SIN,Asia Pacific,SG,Singapore,213,0.00
129.154.58.198,443,443,true,SIN,Asia Pacific,SG,Singapore,240,0.00
158.179.165.38,443,443,true,SIN,Asia Pacific,SG,Singapore,238,0.00
13.229.159.215,443,443,true,SIN,Asia Pacific,SG,Singapore,64,0.00
54.169.229.188,443,443,true,SIN,Asia Pacific,SG,Singapore,66,0.00
13.250.38.94,443,443,true,SIN,Asia Pacific,SG,Singapore,66,0.00
138.2.9.191,443,443,true,SIN,Asia Pacific,SG,Singapore,249,0.00
193.122.112.112,443,443,true,SIN,Asia Pacific,SG,Singapore,256,0.00
8.219.56.179,443,443,true,SIN,Asia Pacific,SG,Singapore,203,0.00
217.142.143.142,443,443,true,SIN,Asia Pacific,SG,Singapore,255,0.00
8.222.245.223,443,443,true,SIN,Asia Pacific,SG,Singapore,205,0.00
47.245.127.165,443,443,true,SIN,Asia Pacific,SG,Singapore,203,0.00
8.219.121.4,443,443,true,SIN,Asia Pacific,SG,Singapore,190,0.00
